Class,Precision,Recall,F1-Score,mAP50,mAP50-95
Lycorma delicatula,0.94,0.985,0.961974025974026,0.992,0.69
mole cricket,0.904,0.955,0.9288004303388918,0.979,0.547
Ampelophaga,0.811,0.946,0.8733136027319295,0.939,0.761
grub,0.706,0.975,0.8189767995240926,0.879,0.517
Potosiabre vitarsis,0.727,0.872,0.7929255784865541,0.863,0.639
oides decempunctata,0.616,0.943,0.74520590121873,0.893,0.426
Xylotrechus,0.64,0.861,0.7342305129913391,0.725,0.521
flea beetle,0.608,0.838,0.7047081604426002,0.808,0.442
wireworm,0.579,0.826,0.6807886120996441,0.735,0.491
blister beetle,0.587,0.783,0.6709795620437956,0.742,0.394
peach borer,0.643,0.7,0.6702903946388682,0.741,0.513
Adristyrannus,0.708,0.63,0.6667264573991031,0.735,0.535
Miridae,0.583,0.772,0.6643188191881918,0.741,0.421
Cicadella viridis,0.526,0.854,0.6510202898550725,0.782,0.488
Salurnis marginella Guerr,0.53,0.757,0.6234809634809635,0.717,0.547
legume blister beetle,0.519,0.771,0.620386046511628,0.632,0.302
penthaleus major,0.596,0.528,0.5599430604982206,0.585,0.3
aphids,0.422,0.816,0.5563037156704361,0.568,0.313
Lawana imitata Melichar,0.415,0.828,0.5528881737731296,0.75,0.545
Icerya purchasi Maskell,0.405,0.78,0.5331645569620254,0.649,0.341
corn borer,0.401,0.778,0.5292247667514843,0.61,0.41
Dacus dorsalis(Hendel),0.431,0.654,0.5195834101382489,0.569,0.428
Prodenia litura,0.409,0.66,0.5050327408793265,0.475,0.292
rice leaf roller,0.37,0.769,0.49961369622475854,0.61,0.42
rice gall midge,0.369,0.77,0.49891132572431957,0.711,0.302
Rhytidodera bowrinii white,0.414,0.621,0.4968,0.509,0.398
tarnished plant bug,0.388,0.648,0.4853745173745174,0.561,0.331
red spider,0.368,0.703,0.48310737628384687,0.487,0.363
Papilio xuthus,0.328,0.909,0.4820565885206144,0.512,0.285
Locustoidea,0.395,0.587,0.47223014256619145,0.475,0.273
sericaorient alismots chulsky,0.356,0.667,0.46422678396871936,0.619,0.468
rice water weevil,0.311,0.9,0.46226259289843097,0.463,0.322
all,0.466,0.43,0.4472767857142857,0.379,0.237
black cutworm,0.326,0.701,0.4450360272638754,0.407,0.304
wheat phloeothrips,0.308,0.636,0.4150169491525424,0.445,0.285
white backed plant hopper,0.299,0.625,0.404491341991342,0.359,0.234
beet army worm,0.351,0.47,0.40187576126674784,0.413,0.3
yellow rice borer,0.311,0.562,0.4004169530355098,0.444,0.272
Ceroplastes rubens,0.281,0.694,0.4000287179487179,0.558,0.236
Trialeurodes vaporariorum,0.297,0.609,0.39927814569536424,0.332,0.262
Thrips,0.269,0.572,0.36591676575505355,0.319,0.216
meadow moth,0.337,0.4,0.3658073270013568,0.4,0.275
Sternochetus frigidus,0.299,0.417,0.34827653631284916,0.253,0.177
odontothrips loti,0.23,0.692,0.3452494577006508,0.395,0.157
beet weevil,0.238,0.613,0.34287661574618095,0.341,0.2
Pseudococcus comstocki Kuwana,0.222,0.692,0.33615754923413566,0.297,0.177
