                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4497,                  4.508,                 1.7612,                 0.5682,                0.07198,                0.04996,                 0.0277,                 1.3766,                 2.9693,                 1.8741,             3.1325e-05,             3.1325e-05,             3.1325e-05
                      2,                 1.3695,                 3.5358,                 1.6527,                0.60325,                0.14518,                0.10941,                0.06422,                  1.356,                 2.5135,                 1.8419,             5.8523e-05,             5.8523e-05,             5.8523e-05
                      3,                  1.356,                 3.1286,                 1.6236,                 0.5801,                0.19353,                0.15521,                0.09078,                 1.3524,                 2.2149,                 1.8255,             8.1585e-05,             8.1585e-05,             8.1585e-05
                      4,                 1.3299,                 2.8602,                 1.5989,                0.47166,                0.25529,                0.18808,                0.11131,                 1.3148,                 2.1358,                 1.7924,             7.5388e-05,             7.5388e-05,             7.5388e-05
                      5,                 1.3157,                 2.6576,                 1.5843,                0.50389,                0.27944,                0.23536,                 0.1399,                 1.3192,                 1.9274,                 1.7768,             7.5388e-05,             7.5388e-05,             7.5388e-05
                      6,                 1.2784,                 2.5207,                 1.7104,                0.48744,                0.30897,                0.25902,                0.15595,                 1.2928,                  1.883,                  1.744,             6.9184e-05,             6.9184e-05,             6.9184e-05
                      7,                 1.2616,                 2.2814,                   1.69,                0.46346,                0.35948,                0.28702,                0.17258,                 1.2922,                 1.8046,                 1.7491,              6.298e-05,              6.298e-05,              6.298e-05
                      8,                 1.2435,                 2.1285,                 1.6692,                0.47519,                0.36006,                0.31133,                0.18704,                 1.2857,                  1.731,                 1.7303,             5.6776e-05,             5.6776e-05,             5.6776e-05
                      9,                 1.2292,                 2.0149,                 1.6535,                 0.4406,                0.40495,                0.32658,                0.19922,                 1.2674,                    1.7,                 1.7144,             5.0572e-05,             5.0572e-05,             5.0572e-05
                     10,                 1.2164,                 1.9288,                 1.6395,                0.46778,                0.39018,                0.32845,                0.20215,                 1.2636,                 1.6517,                 1.7114,             4.4368e-05,             4.4368e-05,             4.4368e-05
                     11,                 1.2041,                 1.8417,                 1.6302,                0.47618,                0.39559,                0.34949,                0.21586,                 1.2676,                 1.6036,                 1.7158,             3.8164e-05,             3.8164e-05,             3.8164e-05
                     12,                 1.1935,                 1.7751,                 1.6185,                0.46791,                0.40633,                0.35209,                0.21924,                 1.2549,                 1.5899,                 1.6996,              3.196e-05,              3.196e-05,              3.196e-05
                     13,                 1.1842,                 1.7208,                  1.607,                0.48271,                0.40655,                 0.3666,                 0.2276,                 1.2524,                 1.5577,                 1.6972,             2.5756e-05,             2.5756e-05,             2.5756e-05
                     14,                 1.1733,                 1.6885,                 1.5981,                 0.4533,                0.44038,                0.37036,                0.23043,                 1.2553,                 1.5338,                 1.7011,             1.9552e-05,             1.9552e-05,             1.9552e-05
                     15,                 1.1646,                 1.6521,                 1.5936,                0.46593,                 0.4296,                0.37933,                0.23654,                 1.2493,                 1.5164,                 1.6893,             1.3348e-05,             1.3348e-05,             1.3348e-05
